lastu,13.2.1,(brass),x1 is a quantity of/contains/is made of brass [copper/zinc alloy] of composition including x2.
ransu,13.2.1,(bronze),x1 is a quantity of/contains/is made of bronze of composition including x2.
ckabu,13.2.1,(rubber),x1 is a quantity of/contains/is made of rubber/latex from source x2 of composition including x3.
slasi,13.2.1,(plastic),x1 is a quantity of/is made of/contains plastic/polymer of type/component unit(s) x2.
bukpu,13.2.1,(cloth),x1 is an amount of cloth/fabric of type/material x2.
mapni,13.2.1,(cotton),x1 is a quantity of/contains/is made of cotton [type of fabric/material].
matli,13.2.1,(linen),x1 is a quantity of/contains/is made of linen/flax [type of fabric/material].
silka,13.2.1,(silk),x1 is a quantity of/contains/is made of silk produced by x2.
korka,13.2.1,(cork),x1 is a quantity of/contains/is made of cork/bark from tree/species x2; [material].
mudri,13.2.1,(wood ‘lumber’),x1 is a quantity of/is made of/contains wood/lumber from tree(s) of type/species x2.
skapi,13.2.1,(pelt ‘skin’),x1 is a pelt/skin/hide/leather from x2.
cinta,13.2.1,(paint),"x1 [material] is a paint of pigment/active substance x2, in a base of x3."
xalka,13.2.2,(alcohol),x1 is a quantity of/contains/is made of alcohol of type x2 from source/process x3.
jikru,13.2.2,(liquor),x1 is made of/contains/is a quantity of liquor/spirits distilled from x2.
vanju,13.2.2,(wine),x1 is made of/contains/is a quantity of wine from fruit/grapes x2.
birje,13.2.2,(beer),x1 is made of/contains/is a amount of beer/ale/brew brewed from x2.
jisra,13.2.2,(juice),x1 is made of/contains/is a quantity of juice/nectar from-source/of-type x2.
sodva,13.2.2,(soda),x1 is made of/contains/is a quantity of a carbonated beverage/soda of flavor/brand x2.
ckafi,13.2.2,(coffee),x1 is made of/contains/is a quantity of coffee from source/bean/grain x2.
tcati,13.2.2,(tea),x1 is made of/contains/is a quantity of tea brewed from leaves x2.
sanmi,13.2.3,(meal),x1 (mass) is a meal composed of dishes including x2.
rectu,13.2.3,(meat ‘flesh’),x1 is a quantity of/contains meat/flesh from source/animal x2.
grasu,13.2.3,(grease),x1 is a quantity of/is made of/contains grease/fat/oil from source x2.
ladru,13.2.3,(milk ‘lactic’),x1 is made of/contains/is a quantity of milk from source x2; (adjective:) x1 is lactic/dairy.
kruji,13.2.3,(cream),x1 is made of/contains/is a quantity of cream/emulsion/puree [consistency] of composition x2.
matne,13.2.3,(butter),x1 is a quantity of/contains butter/oleo/margarine/shortening from source x2.
cirla,13.2.3,(cheese),x1 is a quantity of/contains cheese/curd from source x2.
sakta,13.2.3,(sugar ‘sucrose’),x1 is made of/contains/is a quantity of sugar [sweet edible] from source x2 of composition x3.
cakla,13.2.3,(chocolate),x1 is made of/contains/is a quantity of chocolate/cocoa.
nanba,13.2.3,(bread),x1 is a quantity of/contains bread [leavened or unleavened] made from grains x2.
salta,13.2.3,(salad),x1 (mass) is a quantity of salad [food] with ingredients/components including x2.
sanso,13.2.3,(sauce),"x1 is a sauce/topping/gravy/frosting for use with x2, containing ingredient(s) including x3."
stasu,13.2.3,(soup ‘stew’),x1 is a quantity of soup/stew/olla/olio [food] of ingredients including x2.
tsapi,13.2.3,(seasoning),x1 is a seasoning/condiment/spice causing flavor/effect x2 (event/property).
sigja,13.2.3,(cigar),x1 is a cigar/cigarette/cigarillo made from tobacco/smokable substance x2 by x3.
rutni,13.3,(artifact),x1 is an artifact; x1 is artificial; x1 is made/caused by people/se kulnu x2; x1 is man-made.
tutci,13.3.1,(tool),x1 is a tool/utensil/resource/instrument/implement used for doing x2; [form determines function].
mruli,13.3.1,(hammer),x1 [tool] is a hammer for/hammers x2 [target] consisting of weight/head x3 propelled by x4.
dinko,13.3.1,(nail),"x1 is a nail/tack [pointed driven/frictional fastener] of type/size x2 (ka), made of material x3."
pijne,13.3.1,(pin),"x1 is a pin/peg (needle-shaped tool) for fastening to/piercing x2, of material/properties x3."
burcu,13.3.1,(brush),x1 is a brush for purpose x2 (event) with bristles x3.
balre,13.3.1,(blade),x1 is a blade of tool/weapon x2.
canpa,13.3.1,(shovel),x1 is a shovel/spade [bladed digging implement] for digging x2.
dakfu,13.3.1,(knife),"x1 is a knife (tool) for cutting x2, with blade of material x3."
jinci,13.3.1,(shears),x1 is a pair of shears/scissors for cutting x2.
klupe,13.3.1,(screw),"x1 is a screw [fastener] for purpose x2, threads [pitch, material] x3, frame [size, material] x4."
komcu,13.3.1,(comb),x1 is a comb [many-needled shape] of material x2 with tines/needles x3.
pinsi,13.3.1,(pencil),"x1 is a pencil/crayon/stylus applying lead/marking material x2, frame/support [of material] x3."
penbi,13.3.1,(pen),x1 is a pen using ink x2 applied by process x3.
xinmo,13.3.1,(ink),x1 is a quantity of ink of color/pigment x2 used by writing device x3.
pelji,13.3.1,(paper ‘page’),x1 is paper from source x2.
smuci,13.3.1,(spoon),"x1 is a spoon/scoop (tool) for use x2, made of material x3."
forca,13.3.1,(fork),x1 is a fork/fork-type tool/utensil for purpose x2 with tines/prongs x3 on base/support x4.
sacki,13.3.1,(match),x1 is a match [incendiary device] made of x2.
janbe,13.3.1,(bell),x1 is a bell/chime/[tuning fork] [tuned percussion instrument] producing sound/note x2.
lanci,13.3.1,(flag ‘banner’),x1 is a flag/banner/standard of/symbolizing x2 with pattern(s) x3 on material x4.
matci,13.3.1,(mat),"x1 is a mat/pad/mattress/pallet [flat, soft, dense form] of material x2."
julne,13.3.1,(net),"x1 is a net/filter allowing passage of x2, prohibiting passage of x3, netting properties x4."
murta,13.3.1,(curtain),"x1 is a curtain/blinds/drapes for covering/obscuring aperture x2, and made of material x3."
dacru,13.3.2,(drawer),"x1 is a drawer/file in structure x2, a [sliding compartment] container for contents x3."
baktu,13.3.2,(bucket),"x1 is a bucket/pail/can/deep, solid, wide-topped container of contents x2, made of material x3."
botpi,13.3.2,(bottle),"x1 is a bottle/jar/urn/flask/closable container for x2, made of material x3 with lid x4."
tanxe,13.3.2,(box ‘trunk’),"x1 is a box/carton/trunk/crate for contents x2, and made of material x3."
lante,13.3.2,(can),"x1 is a can/tightly sealed/pre-sealed container for perishable contents x2, made of x3."
dakli,13.3.2,(sack),"x1 is a sack/bag with contents x2, and of material x3."
kabri,13.3.2,(cup),"x1 is a cup/glass/tumbler/mug/vessel/[bowl] containing contents x2, and of material x3."
lanka,13.3.2,(basket),"x1 is a basket with contents x2, woven from material x3."
patxu,13.3.2,(pot),"x1 is a pot/kettle/urn/tub/sink, a deep container for contents x2, of material/properties x3."
palne,13.3.2,"(tray ‘pan, platter’)","x1 is a tray/platter/flat container [pan/sheet/griddle] of contents x2, and made of material x3."
palta,13.3.2,(plate ‘platter’),x1 is a plate/dish/platter/saucer [flat/mildly concave food service bed] made of material x2.
tansi,13.3.2,(pan),"x1 is a pan/basin/tub/sink, a shallow container for contents x2, of material/properties x3."
minji,13.3.3,(machine),"x1 is a machine for use/function x2; [automated apparatus, without direct function control]."
cabra,13.3.3,(apparatus),x1 is apparatus/mechanism/device/equipment for function x2 controlled/[triggered] by x3 (agent).
matra,13.3.3,(motor),"x1 is a motor/engine, driving/propelling/providing power to x2."
livla,13.3.3,(fuel),x1 is a fuel/energy-source for powering x2.
pambe,13.3.3,(pump),x1 is a pump/injector [tool/apparatus] pumping/inserting fluid x2 to x3 from x4 by means x5.
toknu,13.3.3,(oven),x1 is an oven [enclosure that heats its contents] for baking/heating/drying x2.
xarci,13.3.3,(weapon ‘arms’),x1 is a weapon/arms for use against x2 by x3.
jbama,13.3.3,(bomb),x1 is a bomb/explosive device with explosive material/principle x2.
danti,13.3.3,(projectile),x1 is a ballistic projectile [e.g. bullet/missile] for firing by [gun/propelling launcher] x2.
greku,13.4,(frame),x1 is a frame/structure/skeleton/outline supporting/load-bearing/determining the form of x2.
tsina,13.4,(stage),"x1 is a stage/platform/dais/[scaffold] at/in x2 supporting x3, made of material x4."
zbepi,13.4,(pedestal ‘base’),"x1 is a pedestal/base/stand/pallet supporting x2 (object/event), of materials/properties x3."
kamju,13.4,(column),x1 is a column/pillar of material x2.
garna,13.4,(rail ‘bar’),"x1 is a rail/railing/bar [tool] supporting/restraining x2, of material x3."
kajna,13.4,(shelf ‘counter’),"x1 is a shelf/counter/bar in/on/attached to supporting object x2, for purpose x3."
batke,13.4,(button),"x1 is a button/knob/[handle] on/for item x2, with purpose x3, made of material x4."
xislu,13.4,(wheel),"x1 is a wheel [tool] of device/vehicle x2, made of materials/having properties x3."
jabre,13.4,(brake),x1 brakes/causes to slow motion/activity x2 with device/mechanism/principle x3.
linsi,13.4,(chain ‘links’),x1 is a length of chain/links of material x2 with link properties x3.
pulni,13.4,(pulley),x1 is a pulley [tool] for performing action/function x2 rotating on axle x3.
skori,13.4,(cord),x1 is cord/cable/rope/line/twine/cordage/woven strands of material x2.
jendu,13.4,(axle ‘spindle’),"x1 is an axle/spindle [tool] on which x2 rotates, of material/properties x3."
vraga,13.4,(lever),"x1 is a lever [tool] [of apparatus] for doing x2 [function/action], with fulcrum x3 and arm x4."
dargu,13.5,(road),x1 is a road/highway to x2 from x3 with route x4 (x2/x3 may be unordered).
klaji,13.5,(street ‘avenue’),x1 is a street/avenue/lane/drive/cul-de-sac/way/alley/[road] at x2 accessing x3.
naxle,13.5,(canal),x1 is a canal/channel to x2 from x3 with route x4.
vinji,13.5,(airplane),"x1 is an airplane/aircraft [flying vehicle] for carrying passengers/cargo x2, propelled by x3."
skiji,13.5,(ski),x1 is a ski/skid/skate/runner for surface (of material) x2 supporting skier/skater/sled/cargo x3.
falnu,13.5,(sail),x1 is a sail for gathering propelling material x2 on vehicle/motor x3.
carce,13.5,(cart),"x1 is a cart/carriage/wagon [wheeled vehicle] for carrying x2, propelled by x3."
cripu,13.5,(bridge),"x1 is a bridge/span over/across x2 between x3 and x4 [unordered, typically destination first]."
jakne,13.5,(rocket),x1 is a rocket [vehicle] propelled by jet expelling x2 carrying payload x3.
tcana,13.5,(station),x1 is a station/node of/in/on transport/communication/distribution system/network x2.
marce,13.5,(vehicle),"x1 is a vehicle/mode of transport carrying x2 in/on surface/medium x3, propelled by x4."
sabnu,13.5,(cabin),x1 is a cabin of vehicle x2.
bloti,13.5,(boat),"x1 is a boat/ship/vessel [vehicle] for carrying x2, propelled by x3."
trene,13.5,(train),"x1 is a train [vehicle] of cars/units x2 (mass) for rails/system/railroad x3, propelled by x4."
karce,13.5,(car),"x1 is a car/automobile/truck/van [a wheeled motor vehicle] for carrying x2, propelled by x3"
ginka,13.6,(camp),x1 is a camp/encampment/temporary residence of x2 at location x3.
dinju,13.6,(building),x1 is a building/edifice for purpose x2.
kumfa,13.6,(room),x1 is a room of/in structure x2 surrounded by partitions/walls/ceiling/floor x3 (mass/jo'u).
bitmu,13.6,(wall),x1 is a wall/fence separating x2 and x3 (unordered) of/in structure x4.
vorme,13.6,(door),x1 is a doorway/gateway/access way between x2 and x3 of structure x4.
canko,13.6,(window),x1 is a window/portal/opening [portal] in wall/building/structure x2.
balni,13.6,(balcony),x1 is a balcony/overhang/ledge/shelf of building/structure x2.
serti,13.6,(stairs),x1 are stairs/stairway/steps for climbing structure x2 with steps x3.
nilce,13.6,(furniture),x1 [furniture items] furnishes x2 [location] serving purpose/function x3.
jubme,13.6,(table),"x1 is a table/flat solid upper surface of material x2, supported by legs/base/pedestal x3."
stizu,13.6,(chair ‘stool’),"x1 is a chair/stool/seat/bench, a piece or portion of a piece of furniture intended for sitting."
ckana,13.6,(bed),x1 is a bed/pallet of material x2 for holding/supporting x3 (person/object/event).
sfofa,13.6,(sofa),x1 is a sofa/couch (noun).
kicne,13.6,(cushion),x1 cushions x2 with material x3; x1 is a cushion/pillow/pad [for x2] of padding material x3.
stela,13.6,(lock),x1 is a lock/seal of/on/for sealing x2 with/by locking mechanism x3.
ckiku,13.6,(key),"x1 is a key fitting/releasing/opening/unlocking lock x2, and having relevant properties x3."
dasni,13.7,(wear),x1 wears/is robed/garbed in x2 as a garment of type x3.
taxfu,13.7,(garment),x1 is dress/a garment/clothing for wearing by x2 (gender/species/body part) serving purpose x3.
kosta,13.7,(coat),x1 is a coat/jacket/sweater/cloak/[cape/shawl/pullover] [extra outer garment] of material x2.
pastu,13.7,(robe ‘tunic’),x1 is a robe/tunic/gown/cloak/dress/[coveralls] [a long/full body garment] of material x2.
skaci,13.7,(skirt),x1 is a skirt/kilt/dress of material x2; x1 is skirted [garment open at the bottom; not legged].
creka,13.7,(shirt),"x1 is a shirt/blouse/top [upper-body garment - not necessarily sleeved or buttoned], material x2."
palku,13.7,(pants),x1 are pants/trousers/slacks/leggings [legged garment] of material x2.
daski,13.7,(pocket),x1 is a pocket/pouch of/in garment/item x2.
gluta,13.7,(glove),x1 is a mitten/glove [hand and lower arm garment] of material x2.
cutci,13.7,(shoe),"x1 is a shoe/boot/sandal for covering/protecting [feet/hooves] x2, and of material x3."
smoka,13.7,(sock),x1 is a sock/stocking [flexible foot and lower leg garment] of material x2.
mapku,13.7,(cap),x1 is a cap/hat/crown/helmet/piece of headgear [head-top garment] of material x2.
santa,13.7,(umbrella),"x1 is an umbrella/parasol shielding x2 from x3, made of material x4, supported by x5."
